#;Família (FB 2020);Espécie (FB 2020);Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saíram da Categoria de Ameaça;Saíram da Lista por serem sinonímias taxonômicas
1;Acanthaceae;Aphelandra espirito-santensis Profice & Wassh.;Aphelandra espirito-santensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;62 espécies;74 espécies
2;Acanthaceae;Aphelandra margaritae E.Morren;Aphelandra margaritae;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
3;Acanthaceae;Aphelandra maximiliana (Nees) Benth.;Aphelandra maximiliana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
4;Acanthaceae;Aphelandra rigida Glaz. ex Mildbr.;Aphelandra rigida;;Em Perigo (EN);;;X;;;;;X;;
5;Acanthaceae;Aphelandra stephanophysa Nees;Aphelandra stephanophysa;;Vulnerável (VU);;;;X;;;;X;;
6;Acanthaceae;Dyschoriste lavandulacea (Nees) Kuntze;Dyschoriste lavandulacea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
7;Acanthaceae;Dyschoriste smithii Leonard;Dyschoriste smithii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
8;Acanthaceae;Justicia clausseniana (Nees) Profice;Justicia clausseniana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
9;Acanthaceae;Justicia genuflexa Nees & Mart.;Justicia genuflexa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
10;Acanthaceae;Justicia meyeniana (Nees) Lindau;Justicia meyeniana;;Em Perigo (EN);;;X;;;;;X;;
11;Acanthaceae;Justicia nervata (Lindau) Profice;Justicia nervata;;Em Perigo (EN);;;X;;;;;X;;
12;Acanthaceae;Justicia polita (Nees) Profice;Justicia polita;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
13;Acanthaceae;Justicia ramulosa (Morong) C.Ezcurra;Justicia ramulosa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
14;Acanthaceae;Justicia tijucensis V.A.W.Graham;Justicia tijucensis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
15;Acanthaceae;Odontonema dissitiflorum (Nees) Kuntze;Odontonema dissitiflorum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
16;Acanthaceae;Pachystachys dubiosa (Lindau) A.L.A.Côrtes;Streblacanthus dubiosus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
17;Acanthaceae;Schaueria paranaensis (Rizz.) A.L.A. Côrtes;Justicia paranaensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
18;Acanthaceae;Staurogyne brachiata (Hiern) Leonard;Staurogyne brachiata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
19;Acanthaceae;Staurogyne elegans (Nees) Kuntze;Staurogyne elegans;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
20;Acanthaceae;Staurogyne euryphylla E.Hossain;Staurogyne euryphylla;;Em Perigo (EN);;;X;;;;;X;;
21;Acanthaceae;Staurogyne itatiaiae (Wawra) Leonard;Staurogyne itatiaiae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
22;Acanthaceae;Staurogyne vauthieriana (Nees) Kuntze;Staurogyne vauthieriana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
23;Acanthaceae;Staurogyne veronicifolia (Nees) Kuntze;Staurogyne veronicifolia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
24;Acanthaceae;Staurogyne warmingiana (Hiern) Leonard;Staurogyne warmingiana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
25;Acanthaceae;Stenandrium hatschbachii Wassh.;Stenandrium hatschbachii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
26;Acanthaceae;Stenandrium stenophyllum Kameyama;Stenandrium stenophyllum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
27;Achariaceae;Kuhlmanniodendron macrocarpum Groppo, Favaretto & Fiaschi;Kuhlmanniodendron macrocarpum;;Em Perigo (EN);;;X;;;;;X;;
28;Alismataceae;Sagittaria lancifolia L.;Sagittaria lancifolia;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
29;Alstroemeriaceae;Alstroemeria amabilis M.C.Assis;Alstroemeria amabilis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
30;Alstroemeriaceae;Alstroemeria brasiliensis Spreng.;Alstroemeria brasiliensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
31;Alstroemeriaceae;Alstroemeria capixaba M.C.Assis;Alstroemeria capixaba;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
32;Alstroemeriaceae;Alstroemeria caryophyllaea Jacq.;Alstroemeria caryophyllaea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
33;Alstroemeriaceae;Alstroemeria malmeana Kraenzl.;Alstroemeria malmeana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
34;Alstroemeriaceae;Alstroemeria orchidioides Meerow et al.;Alstroemeria orchidioides;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
35;Alstroemeriaceae;Alstroemeria penduliflora M.C.Assis;Alstroemeria penduliflora;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
36;Amaranthaceae;Alternanthera hirtula (Mart.) R.E.Fr.;Alternanthera hirtula;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
37;Amaranthaceae;Alternanthera januarensis J.C.Siqueira;Alternanthera januarensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
38;Amaranthaceae;Amaranthus rosengurtii Hunz.;Amaranthus rosengurtii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
39;Amaranthaceae;Froelichiella grisea R.E.Fr.;Froelichiella grisea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
40;Amaranthaceae;Gomphrena centrota E.Holzh.;Gomphrena centrota;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
41;Amaranthaceae;Gomphrena hatschbachiana Pedersen;Gomphrena hatschbachiana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
42;Amaranthaceae;Gomphrena nigricans Mart.;Gomphrena nigricans;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
43;Amaranthaceae;Gomphrena paranensis R.E.Fr.;Gomphrena paranensis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
44;Amaranthaceae;Gomphrena pulchella Mart.;Gomphrena pulchella;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
45;Amaranthaceae;Gomphrena regeliana Seub.;Gomphrena regeliana;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
46;Amaranthaceae;Pfaffia argyrea Pedersen;Pfaffia argyrea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
47;Amaranthaceae;Pfaffia minarum Pedersen;Pfaffia minarum;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
48;Amaranthaceae;Quaternella glabratoides (Suess.) Pedersen;Quaternella glabratoides;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
49;Amaryllidaceae;Griffinia aracensis Ravenna;Griffinia aracensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
50;Amaryllidaceae;Griffinia colatinensis Ravenna;Griffinia colatinensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
51;Amaryllidaceae;Griffinia espiritensis Ravenna;Griffinia espiritensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
52;Amaryllidaceae;Griffinia gardneriana (Herb.) Ravenna;Griffinia gardneriana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
53;Amaryllidaceae;Griffinia hyacinthina (Ker Gawl.) Ker Gawl.;Griffinia hyacinthina;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
54;Amaryllidaceae;Griffinia intermedia Lindl.;Griffinia intermedia;;Em Perigo (EN);;;X;;;;;X;;
55;Amaryllidaceae;Griffinia liboniana Morren;Griffinia liboniana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
56;Amaryllidaceae;Griffinia nocturna Ravenna;Griffinia nocturna;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
57;Amaryllidaceae;Griffinia parviflora Ker Gawl.;Griffinia parviflora;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
58;Amaryllidaceae;Griffinia paubrasilica Ravenna;Griffinia paubrasilica;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
59;Amaryllidaceae;Hippeastrum angustifolium Pax;Hippeastrum angustifolium;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
60;Amaryllidaceae;Hippeastrum brasilianum (Traub & J.L.Doran) Dutilh;Hippeastrum brasilianum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
61;Amaryllidaceae;Hippeastrum breviflorum Herb.;Hippeastrum breviflorum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
62;Amaryllidaceae;Hippeastrum leucobasis (Ravenna) Dutilh;Hippeastrum leucobasis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
63;Amaryllidaceae;Hippeastrum morelianum Lem.;Hippeastrum morelianum;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
64;Amaryllidaceae;Hippeastrum papilio (Ravenna) Van Scheepen;Hippeastrum papilio;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
65;Amaryllidaceae;Hippeastrum psittacinum Herb.;Hippeastrum psittacinum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
66;Amaryllidaceae;Hippeastrum reginae (L.) Herb.;Hippeastrum reginae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
67;Amaryllidaceae;Hippeastrum santacatarina (Traub) Dutilh;Hippeastrum santacatarina;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
68;Amaryllidaceae;Hippeastrum striatum (Lam.) Moore;Hippeastrum striatum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
69;Amaryllidaceae;Hippeastrum vittatum (L'Hér.) Herb.;Hippeastrum vittatum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
70;Amaryllidaceae;Worsleya procera (Lem.) Traub;Worsleya procera;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
71;Amaryllidaceae;Zephyranthes blumenavia (K.Koch & C.D.Bouché ex Carrière) Nic.García & Dutilh;Eithea blumenavia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
72;Amaryllidaceae;Zephyranthes candida (Lindl.) Herb.;Zephyranthes candida;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
73;Amaryllidaceae;Zephyranthes capivarina Ravenna;Zephyranthes capivarina;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
74;Amaryllidaceae;Zephyranthes coerulea (Griseb.) Baker;Habranthus coeruleus;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
75;Amaryllidaceae;Zephyranthes irwiniana (Ravenna) Nic.García;Habranthus irwinianus;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
76;Amaryllidaceae;Zephyranthes paranaensis Ravenna;Zephyranthes paranaensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
77;Anacardiaceae;Astronium balansae Engl.;Myracrodruon balansae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
78;Anacardiaceae;Astronium glaziovii Mattick;Astronium glaziovii;;Em Perigo (EN);;;X;;;;;X;;
79;Anacardiaceae;Astronium pumilum J.D.Mitch. & Daly;Astronium pumilum;;Vulnerável (VU);;;;X;;;;X;;
80;Anacardiaceae;Astronium ulei Mattick;Astronium ulei;;Em Perigo (EN);;;X;;;;;X;;
81;Anacardiaceae;Campnosperma gummiferum (Benth.) Marchand;Campnosperma gummiferum;;Em Perigo (EN);;;X;;;;;X;;
82;Anacardiaceae;Schinopsis balansae Engl.;Schinopsis balansae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
83;Anacardiaceae;Schinus ramboi F.A.Barkley;Schinus ramboi;;Em Perigo (EN);;;X;;;;;X;;
84;Anacardiaceae;Spondias admirabilis J.D.Mitch. & Daly;Spondias admirabilis;;Em Perigo (EN);;;X;;;;;X;;
85;Anacardiaceae;Spondias bahiensis P. Carvalho, Van den Berg & M. Machado;Spondias bahiensis;;Em Perigo (EN);;;X;;;;;X;;
86;Anacardiaceae;Thyrsodium bolivianum J.D.Mitch. & Daly;Thyrsodium bolivianum;;Em Perigo (EN);;;X;;;;;X;;
87;Anemiaceae;Anemia blechnoides Sm.;Anemia blechnoides;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
88;Anemiaceae;Anemia dentata Gardner;Anemia dentata;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
89;Anemiaceae;Anemia gardneri Hook.;Anemia gardneri;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
90;Anemiaceae;Anemia trichorhiza Gardner;Anemia trichorhiza;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
91;Anisophylleaceae;Anisophyllea manausensis Pires & W.A.Rodrigues;Anisophyllea manausensis;;Vulnerável (VU);;;;X;;;;X;;
92;Annonaceae;Annona angustifolia Huber;Annona angustifolia;;Em Perigo (EN);;;X;;;;;X;;
93;Annonaceae;Annona ferruginea (R.E.Fr.) H.Rainer;Annona ferruginea;;Criticamente em Perigo (CR);;X;;;;;;X;;
94;Annonaceae;Annona gardneri R.E.Fr.;Annona gardneri;;Em Perigo (EN);;;X;;;;;X;;
95;Annonaceae;Annona parviflora (A.St.-Hil.) H.Rainer;Annona parviflora;Em Perigo (EN);Vulnerável (VU);;;;X;;;X;;;
96;Annonaceae;Bocagea viridis A.St.-Hil.;Bocagea viridis;;Vulnerável (VU);;;;X;;;;X;;
97;Annonaceae;Cymbopetalum euneurum N.A.Murray;Cymbopetalum euneurum;;Em Perigo (EN);;;X;;;;;X;;
98;Annonaceae;Duguetia bahiensis Maas;Duguetia bahiensis;;Vulnerável (VU);;;;X;;;;X;;
99;Annonaceae;Duguetia duckei R.E.Fr.;Duguetia duckei;;Em Perigo (EN);;;X;;;;;X;;
100;Annonaceae;Duguetia magnolioidea Maas;Duguetia magnolioidea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
101;Annonaceae;Duguetia microphylla (R.E.Fr.) R.E.Fr.;Duguetia microphylla;;Em Perigo (EN);;;X;;;;;X;;
102;Annonaceae;Duguetia pohliana Mart.;Duguetia pohliana;;Em Perigo (EN);;;X;;;;;X;;
103;Annonaceae;Duguetia restingae Maas;Duguetia restingae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
104;Annonaceae;Duguetia rotundifolia R.E.Fr.;Duguetia rotundifolia;;Vulnerável (VU);;;;X;;;;X;;
105;Annonaceae;Duguetia scottmorii Maas;Duguetia scottmorii;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;X;;;
106;Annonaceae;Duguetia sooretamae Maas;Duguetia sooretamae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
107;Annonaceae;Duguetia subcordata Maas & J.A.C.Dam;Duguetia subcordata;;Em Perigo (EN);;;X;;;;;X;;
108;Annonaceae;Guatteria attenuata Maas & Westra;Guatteria attenuata;;Criticamente em Perigo (CR);;X;;;;;;X;;
109;Annonaceae;Guatteria hispida (R.E.Fr.) Erkens & Maas;Guatteria hispida;;Em Perigo (EN);;;X;;;;;X;;
110;Annonaceae;Guatteria latifolia R.E.Fr.;Guatteria latifolia;;Em Perigo (EN);;;X;;;;;X;;
111;Annonaceae;Guatteria stenocarpa Lobão, Maas & Mello-Silva;Guatteria stenocarpa;;Em Perigo (EN);;;X;;;;;X;;
112;Annonaceae;Hornschuchia alba (A.St.-Hil.) R.E.Fr.;Hornschuchia alba;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
113;Annonaceae;Hornschuchia cauliflora Maas & Setten;Hornschuchia cauliflora;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
114;Annonaceae;Hornschuchia leptandra D.M.Johnson;Hornschuchia leptandra;;Em Perigo (EN);;;X;;;;;X;;
115;Annonaceae;Hornschuchia lianarum D.M.Johnson;Hornschuchia lianarum;;Em Perigo (EN);;;X;;;;;X;;
116;Annonaceae;Hornschuchia myrtillus Nees;Hornschuchia myrtillus;;Vulnerável (VU);;;;X;;;;X;;
117;Annonaceae;Hornschuchia obliqua Maas & Setten;Hornschuchia obliqua;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
118;Annonaceae;Hornschuchia santosii D.M.Johnson;Hornschuchia santosii;;Em Perigo (EN);;;X;;;;;X;;
119;Annonaceae;Oxandra unibracteata J.C.Lopes, Junikka & Mello-Silva;Oxandra unibracteata;;Criticamente em Perigo (CR);;X;;;;;;X;;
120;Annonaceae;Pseudoxandra bahiensis Maas;Pseudoxandra bahiensis;;Vulnerável (VU);;;;X;;;;X;;
121;Annonaceae;Pseudoxandra spiritus-sancti Maas;Pseudoxandra spiritus-sancti;;Em Perigo (EN);;;X;;;;;X;;
122;Annonaceae;Trigynaea axilliflora D.M.Johnson & N.A.Murray;Trigynaea axilliflora;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;X;;;
123;Annonaceae;Trigynaea oblongifolia Schltdl.;Trigynaea oblongifolia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
124;Annonaceae;Unonopsis aurantiaca Maas & Westra;Unonopsis aurantiaca;;Em Perigo (EN);;;X;;;;;X;;
125;Annonaceae;Unonopsis bauxitae Maas et al.;Unonopsis bauxitae;;Criticamente em Perigo (CR);;X;;;;;;X;;
126;Annonaceae;Unonopsis riedeliana R.E.Fr.;Unonopsis riedeliana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
127;Annonaceae;Unonopsis sanctae-teresae Maas & Westra;Unonopsis sanctae-teresae;;Criticamente em Perigo (CR);;X;;;;;;X;;
128;Annonaceae;Xylopia atlantica Mello-Silva & J.C.Lopes;Xylopia atlantica;;Em Perigo (EN);;;X;;;;;X;;
129;Annonaceae;Xylopia brasiliensis Spreng.;Xylopia brasiliensis;;Vulnerável (VU);;;;X;;;;X;;
130;Annonaceae;Xylopia decorticans D.M.Johnson & Lobão;Xylopia decorticans;;Em Perigo (EN);;;X;;;;;X;;
131;Annonaceae;Xylopia involucrata M.C.Dias & Kinoshita;Xylopia involucrata;;Vulnerável (VU);;;;X;;;;X;;
132;Annonaceae;Xylopia trichostemon R.E.Fr.;Xylopia trichostemon;;Vulnerável (VU);;;;X;;;;X;;
133;Apiaceae;Eryngium corallinum Mathias & Constance;Eryngium corallinum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
134;Apiaceae;Eryngium divaricatum Hook. & Arn.;Eryngium divaricatum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
135;Apiaceae;Eryngium dorae Norman;Eryngium dorae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
136;Apiaceae;Eryngium falcifolium Irgang;Eryngium falcifolium;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
137;Apiaceae;Eryngium fluminense Urb.;Eryngium fluminense;;Vulnerável (VU);;;;X;;;;X;;
138;Apiaceae;Eryngium koehneanum Urb.;Eryngium koehneanum;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
139;Apiaceae;Eryngium ombrophilum Dusén & H.Wolff;Eryngium ombrophilum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
140;Apiaceae;Eryngium ramboanum Mathias & Constance;Eryngium ramboanum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
141;Apiaceae;Eryngium scirpinum Cham.;Eryngium scirpinum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
142;Apiaceae;Eryngium smithii Mathias & Constance;Eryngium smithii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
143;Apiaceae;Eryngium urbanianum H.Wolff;Eryngium urbanianum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
144;Apiaceae;Eryngium zosterifolium H.Wolff;Eryngium zosterifolium;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
145;Apiaceae;Klotzschia rhizophylla Urb.;Klotzschia rhizophylla;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
146;Apiaceae;Lilaeopsis brasiliensis (Glaz.) Affolter;Lilaeopsis brasiliensis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
147;Apocynaceae;Aspidosperma auriculatum Markgr.;Aspidosperma auriculatum;;Em Perigo (EN);;;X;;;;;X;;
148;Apocynaceae;Aspidosperma castroanum A.C.D.Castello;Aspidosperma castroanum;;Em Perigo (EN);;;X;;;;;X;;
149;Apocynaceae;Aspidosperma confertiflorum A.C.D.Castello;Aspidosperma confertiflorum;;Em Perigo (EN);;;X;;;;;X;;
150;Apocynaceae;Aspidosperma formosanum Duarte;Aspidosperma formosanum;;Em Perigo (EN);;;X;;;;;X;;
151;Apocynaceae;Aspidosperma huberianum A.S.S.Pereira;Aspidosperma huberianum;;Em Perigo (EN);;;X;;;;;X;;
152;Apocynaceae;Aspidosperma nigricans Handro;Aspidosperma nigricans;;Em Perigo (EN);;;X;;;;;X;;
153;Apocynaceae;Aspidosperma obscurinervium Azambuja;Aspidosperma obscurinervium;;Em Perigo (EN);;;X;;;;;X;;
154;Apocynaceae;Aspidosperma occidentale Malme;Aspidosperma occidentale;;Em Perigo (EN);;;X;;;;;X;;
155;Apocynaceae;Aspidosperma oliganthum Woodson;Aspidosperma oliganthum;;Em Perigo (EN);;;X;;;;;X;;
156;Apocynaceae;Aspidosperma parvifolium A.DC.;Aspidosperma parvifolium;;Em Perigo (EN);;;X;;;;;X;;
157;Apocynaceae;Aspidosperma rizzoanum Scudeler & A.C.D.Castello;Aspidosperma rizzoanum;;Em Perigo (EN);;;X;;;;;X;;
158;Apocynaceae;Aspidosperma salgadense Markgr.;Aspidosperma salgadense;;Em Perigo (EN);;;X;;;;;X;;
159;Apocynaceae;Aspidosperma thomasii Marc.-Ferr.;Aspidosperma thomasii;;Em Perigo (EN);;;X;;;;;X;;
160;Apocynaceae;Ditassa auriflora Rapini;Ditassa auriflora;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
161;Apocynaceae;Ditassa cipoensis (Fontella) Rapini;Ditassa cipoensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
162;Apocynaceae;Ditassa cordeiroana Fontella;Ditassa cordeiroana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
163;Apocynaceae;Ditassa itambensis Rapini;Ditassa itambensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
164;Apocynaceae;Ditassa laevis Mart.;Ditassa laevis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
165;Apocynaceae;Ditassa leonii Fontella & T.U.P.Konno;Ditassa leonii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
166;Apocynaceae;Ditassa longisepala (Hua) Fontella & E.A.Schwarz;Ditassa longisepala;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
167;Apocynaceae;Ditassa maricaensis Fontella & E.A.Schwarz;Ditassa maricaensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
168;Apocynaceae;Ditassa melantha Silveira;Ditassa arianeae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
169;Apocynaceae;Ditassa oberdanii Fontella & M.C.Alvarez;Ditassa oberdanii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
170;Apocynaceae;Gonolobus dorothyanus Fontella;Gonolobus dorothyanus;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;X;;;
171;Apocynaceae;Gyrostelma bornmuelleri Schltr. ex Malme;Gyrostelma bornmuelleri;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
172;Apocynaceae;Gyrostelma oxypetaloides E.Fourn.;Gyrostelma oxypetaloides;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
173;Apocynaceae;Hemipogon abietoides E.Fourn.;Hemipogon abietoides;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
174;Apocynaceae;Hemipogon hatschbachii (Fontella & Marquete) Rapini;Hemipogon hatschbachii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
175;Apocynaceae;Jobinia hatschbachii Fontella & E.A.Schwarz;Jobinia hatschbachii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
176;Apocynaceae;Lacmellea bahiensis J.F.Morales;Lacmellea bahiensis;;Em Perigo (EN);;;X;;;;;X;;
177;Apocynaceae;Lacmellea pauciflora (Kuhlm.) Markgr.;Lacmellea pauciflora;;Em Perigo (EN);;;X;;;;;X;;
178;Apocynaceae;Macroditassa marianae Fontella & M.V.Ferreira;Macroditassa marianae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
179;Apocynaceae;Malouetia amazonica M.E.Endress;Malouetia amazonica;;Em Perigo (EN);;;X;;;;;X;;
180;Apocynaceae;Malouetia gracillima Woodson;Malouetia gracillima;;Em Perigo (EN);;;X;;;;;X;;
181;Apocynaceae;Malouetia lata Markgr.;Malouetia lata;;Em Perigo (EN);;;X;;;;;X;;
182;Apocynaceae;Mandevilla crassinoda (Gardner) Woodson;Mandevilla crassinoda;;Em Perigo (EN);;;X;;;;;X;;
183;Apocynaceae;Marsdenia otoniensis Fontella & Morillo;Marsdenia otoniensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
184;Apocynaceae;Marsdenia queirozii Fontella;Marsdenia queirozii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
185;Apocynaceae;Matelea bahiensis Morillo & Fontella;Matelea bahiensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
186;Apocynaceae;Matelea glaziovii (E.Fourn.) Morillo;Matelea glaziovii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
187;Apocynaceae;Matelea hatschbachii (Fontella & Valente) Morillo;Matelea hatschbachii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
188;Apocynaceae;Matelea marcoassisii Fontella;Matelea marcoassisii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
189;Apocynaceae;Metastelma giuliettianum Fontella;Metastelma giuliettianum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
190;Apocynaceae;Metastelma harleyi Fontella;Metastelma harleyi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
191;Apocynaceae;Minaria bifurcata (Rapini) T.U.P.Konno & Rapini;Minaria bifurcata;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
192;Apocynaceae;Minaria diamantinensis (Fontella) T.U.P.Konno & Rapini;Minaria diamantinensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
193;Apocynaceae;Minaria grazielae (Fontella & Marquete) T.U.P.Konno & Rapini;Minaria grazielae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
